,Unnamed: 0,User,Project,Task_cat,Task_Description,Start date,Start time,End date,End time,Duration
0,0,UI13,Revenify,Development,Feedback on budgets index PR and Standup meeting.  Start working on User debts should be saved in the database,2017-09-01,09:34:00,2017-09-01,10:51:00,01:17:00
1,1,UI36,WWU,Development,Create graphs in XLSX format from user input,2017-09-01,10:00:00,2017-09-01,12:30:00,02:30:00
2,2,UI36,WWU,Development,Create graphs in XLSX format from user input,2017-09-01,19:02:14,2017-09-01,19:39:03,00:36:49
3,3,UI38,WWU,Development,Weekly Standup,2017-09-01,20:00:00,2017-09-01,20:12:05,00:12:05
4,4,UI36,WWU,Development,Weekly standup,2017-09-01,20:01:34,2017-09-01,20:10:41,00:09:07
5,5,UI38,Credious,Development,Weekly Standup,2017-09-01,20:35:00,2017-09-01,20:50:49,00:15:49
6,6,UI38,WeVape,Development,Feature Design,2017-09-02,08:07:00,2017-09-02,09:06:23,00:59:23
7,7,UI36,WWU,Development,Do not allow data analysis to occur while the system is saving data from a new excel file,2017-09-02,08:59:47,2017-09-02,10:04:39,01:04:52
8,8,UI38,WWU,Development,Code Review,2017-09-02,14:00:00,2017-09-02,14:56:01,00:56:01
9,9,UI38,WeVape,Development,"Added Ligtbox for Images and videos, alternate imgaes/videos",2017-09-03,09:00:39,2017-09-03,14:59:02,05:58:23
10,10,UI38,WWU,Development,Feature Design,2017-09-03,16:00:41,2017-09-03,17:02:04,01:01:23
11,11,UI38,WWU,Development,Feature Design,2017-09-03,17:00:41,2017-09-03,18:05:01,01:04:20
12,12,UI36,WWU,Development,Add titles to excel,2017-09-03,17:32:27,2017-09-03,19:50:58,02:18:31
13,13,UI38,WWU,Development,Feature Design,2017-09-03,18:30:41,2017-09-03,20:28:13,01:57:32
14,14,UI13,Revenify,Development,Grooming tickets,2017-09-04,08:54:23,2017-09-04,10:00:57,01:06:34
15,15,UI36,WWU,Development,Translate Excel data to Hebrew,2017-09-04,08:57:00,2017-09-04,10:38:00,01:41:00
16,16,UI13,Revenify,Development,Standup meeting,2017-09-04,10:00:58,2017-09-04,10:45:08,00:44:10
17,17,UI38,WWU,Development,Code Review ,2017-09-04,10:28:04,2017-09-04,10:59:11,00:31:07
